Exchange,Symbol,Name,Market Cap,Country,Sector,Industry
NYSE,A,Agilent Technologies Inc. Common Stock,36874107539,United States,Capital Goods,Biotechnology: Laboratory Analytical Instruments
NYSE,AAIC,Arlington Asset Investment Corp Class A (new),121008227,United States,Consumer Services,Real Estate Investment Trusts
NYSE,AAN,Aarons Holdings Company Inc. Common Stock ,572207942,United States,Technology,Diversified Commercial Services
NYSE,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,10119825946,United States,Consumer Services,Other Specialty Stores
NYSE,AAT,American Assets Trust Inc. Common Stock,1670921238,United States,Consumer Services,Real Estate Investment Trusts
NYSE,AB,AllianceBernstein Holding L.P.  Units,3399770979,United States,Finance,Investment Managers
NYSE,ABBV,AbbVie Inc. Common Stock,1.80926E+11,United States,Health Care,Major Pharmaceuticals
NYSE,ABC,AmerisourceBergen Corporation Common Stock,21329005077,United States,Health Care,Other Pharmaceuticals
NYSE,ABG,Asbury Automotive Group Inc Common Stock,2750312000,United States,Consumer Durables,Automotive Aftermarket
NYSE,ABM,ABM Industries Incorporated Common Stock,2452713536,United States,Finance,Diversified Commercial Services
NYSE,ABR,Arbor Realty Trust Common Stock,1759613969,United States,Consumer Services,Real Estate Investment Trusts
NYSE,ABT,Abbott Laboratories Common Stock,2.19046E+11,United States,Health Care,Major Pharmaceuticals
NYSE,AC,Associated Capital Group Inc. Common Stock,732500995,United States,Finance,Investment Bankers/Brokers/Service
NYSE,ACC,American Campus Communities Inc Common Stock,5664936866,United States,Consumer Services,Real Estate Investment Trusts
NYSE,ACCO,Acco Brands Corporation Common Stock,764479411,United States,Consumer Durables,Publishing
NYSE,ACEL,Accel Entertainment Inc. ,932019048,United States,Consumer Services,Services-Misc. Amusement & Recreation
NYSE,ACI,Albertsons Companies Inc. Class A Common Stock,8086312691,United States,Consumer Services,Food Chains
NYSE,ACIC,Atlas Crest Investment Corp. Class A Common Stock,665637500,United States,Finance,Business Services
NYSE,ACIC.U,Atlas Crest Investment Corp. Units each consisting of one Class A common stock and one-third of one redeemable warrant,,United States,,
NYSE,ACIC.WS,Atlas Crest Investment Corp. Redeemable warrants included as part of the units each whole warrant exercisable for one Class A common stock at an exercise price of $11.50,,United States,,
NYSE,ACM,AECOM Common Stock,7403503302,United States,Consumer Services,Military/Government/Technical
NYSE,ACND,Ascendant Digital Acquisition Corp. Class A Ordinary Shares,533025000,United States,Finance,Business Services
NYSE,ACND.U,Ascendant Digital Acquisition Corp. Units each consisting of one Class A ordinary share and one-half of one redeemable warrant,,United States,,
NYSE,ACND.WS,Ascendant Digital Acquisition Corp. Warrants each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50 per share,,United States,,
NYSE,ACP,Aberdeen Income Credit Strategies Fund Common Shares,190532809,United States,,
NYSE,ACRE,Ares Commercial Real Estate Corporation Common Stock,378562727,United States,Consumer Services,Real Estate Investment Trusts
NYSE,ACV,AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,333913920,United States,,
NYSE,ADC,Agree Realty Corporation Common Stock,3982957726,United States,Consumer Services,Real Estate Investment Trusts
NYSE,ADM,Archer-Daniels-Midland Company Common Stock,27825016340,United States,Consumer Non-Durables,Packaged Foods
NYSE,ADS,Alliance Data Systems Corporation Common Stock,3356913688,United States,Miscellaneous,Business Services
NYSE,ADT,ADT Inc. Common Stock,7453887781,United States,Consumer Services,Diversified Commercial Services
NYSE,ADX,Adams Diversified Equity Fund Inc.,1862832996,United States,,
NYSE,AEE,Ameren Corporation Common Stock,17976891440,United States,Public Utilities,Power Generation
NYSE,AEL,American Equity Investment Life Holding Company Common Stock,2896321559,United States,Finance,Life Insurance
NYSE,AEO,American Eagle Outfitters Inc. Common Stock,3770717411,United States,Consumer Services,Clothing/Shoe/Accessory Stores
NYSE,AES,The AES Corporation Common Stock,16222548700,United States,Basic Industries,Electric Utilities: Central
NYSE,AFB,AllianceBernstein National Municipal Income Fund Inc,416226673,United States,,
NYSE,AFC,Allied Capital Corporation Allied Capital Corporation 6.875% Notes due April 15 2047,0,United States,,
NYSE,AFG,American Financial Group Inc. Common Stock,8175514871,United States,Finance,Property-Casualty Insurers
NYSE,AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,0,United States,Finance,Property-Casualty Insurers
